06/02/17	@ OAK	W 13-3	Stephen Strasburg (R)	Andrew Triggs (R)	W -136	O 7.5 -108
05/31/17	@ SF	W 3-1	Max Scherzer (R)	Matt Cain (R)	W -165	U 7.5 -120
05/30/17	@ SF	W 6-3	Gio Gonzalez (L)	Jeff Samardzija (R)	W 113	O 7.5 -115
05/29/17	@ SF	W 3-0	Tanner Roark (R)	Matt Moore (L)	W -102	U 8.5 -104
05/28/17	SD	L 3-5	Jhoulys Chacin (R)	Joe Ross (R)	L -142	P 8 -
05/27/17	SD	W 3-0	Clayton Richard (L)	Stephen Strasburg (R)	W -250	U 8 -115
05/26/17	SD	W 5-1	Luis Perdomo (R)	Max Scherzer (R)	W -243	U 7.5 -105
05/25/17	SEA	L 2-4	Ariel Miranda (L)	Gio Gonzalez (L)	L -138	U 9.5 -121
05/24/17	SEA	W 5-1	Sam Gaviglio (R)	Tanner Roark (R)	W -152	U 9.5 -118
05/23/17	SEA	W 10-1	Christian Bergman (R)	Joe Ross (R)	W -145	O 9 -113
05/21/17	@ ATL	W 3-2	Stephen Strasburg (R)	Jaime Garcia (L)	W -185	U 8.5 108
05/20/17	@ ATL	L 2-5	Max Scherzer (R)	Bartolo Colon (R)	L -218	U 9 -115
05/19/17	@ ATL	L 4-7	Gio Gonzalez (L)	R.A. Dickey (R)	L -167	O 9.5 -118
05/18/17	@ PIT	L 4-10	Tanner Roark (R)	Tyler Glasnow (R)	L -128	O 10 -105
05/17/17	@ PIT	L 1-6	Jacob Turner (R)	Gerrit Cole (R)	L 113	U 8.5 103
05/16/17	@ PIT	W 8-4	Stephen Strasburg (R)	Chad Kuhl (R)	W -149	O 8.5 103
05/14/17	PHI	W 6-5	Vince Velasquez (R)	Max Scherzer (R)	W -211	O 7.5 -109
05/14/17	PHI	L 3-4	Jeremy Hellickson (R)	Gio Gonzalez (L)	L -184	U 9.5 -114
05/13/17	PHI	W 6-4	Nick Pivetta (R)	Tanner Roark (R)	W -175	O 8.5 -115
05/10/17	BAL	W 7-6	Wade Miley (L)	Stephen Strasburg (R)	W -168	O 7.5 -106
05/09/17	@ BAL	L 4-5	Max Scherzer (R)	Ubaldo Jimenez (R)	L -153	O 8.5 -113
05/08/17	@ BAL	L 4-6	Gio Gonzalez (L)	Kevin Gausman (R)	L 106	O 9 -105
05/07/17	@ PHI	L 5-6	Tanner Roark (R)	Jeremy Hellickson (R)	L -110	O 8.5 -109
05/06/17	@ PHI	W 6-2	A.J. Cole (R)	Vince Velasquez (R)	W 115	U 9 -128
05/05/17	@ PHI	W 4-2	Stephen Strasburg (R)	Nick Pivetta (R)	W -158	U 8 113
05/04/17	ARI	W 4-2	Braden Shipley (R)	Max Scherzer (R)	W -270	U 8 -110
05/03/17	ARI	W 2-1	Robbie Ray (L)	Gio Gonzalez (L)	W -143	U 8 -102
05/02/17	ARI	L 3-6	Taijuan Walker (R)	Tanner Roark (R)	L -141	O 8.5 110
04/30/17	NYM	W 23-5	Noah Syndergaard (R)	Joe Ross (R)	W 104	O 7.5 -102
04/29/17	NYM	L 3-5	Zack Wheeler (R)	Stephen Strasburg (R)	L -173	P 8 -
04/28/17	NYM	L 5-7	Jacob deGrom (R)	Max Scherzer (R)	L -156	O 7 -124
04/27/17	@ COL	W 16-5	Gio Gonzalez (L)	Antonio Senzatela (R)	W -117	O 11 -104
04/26/17	@ COL	W 11-4	Tanner Roark (R)	Tyler Chatwood (R)	W 104	O 11 108
04/25/17	@ COL	W 15-12	Joe Ross (R)	German Marquez (R)	W -116	O 10.5 109
04/24/17	@ COL	L 4-8	Jacob Turner (R)	Tyler Anderson (L)	L 142	O 11.5 -103
04/23/17	@ NYM	W 6-3	Max Scherzer (R)	Zack Wheeler (R)	W -154	O 7 104
04/22/17	@ NYM	W 3-1	Gio Gonzalez (L)	Jacob deGrom (R)	W 102	U 7 -128
04/21/17	@ NYM	W 4-3	Tanner Roark (R)	Matt Harvey (R)	W 108	P 7 -
04/20/17	@ ATL	W 3-2	Stephen Strasburg (R)	R.A. Dickey (R)	W -153	U 8 -114
04/19/17	@ ATL	W 14-4	Joe Ross (R)	Julio Teheran (R)	W -110	O 8 -114
04/18/17	@ ATL	W 3-1	Max Scherzer (R)	Mike Foltynewicz (R)	W -183	U 8 -116
04/16/17	PHI	W 6-4	Jerad Eickhoff (R)	Gio Gonzalez (L)	W -172	O 9 -107
04/15/17	PHI	L 2-4	Jeremy Hellickson (R)	Tanner Roark (R)	L -153	U 8 -111
04/14/17	PHI	W 3-2	Aaron Nola (R)	Stephen Strasburg (R)	W -174	U 7.5 -113
04/12/17	STL	L 1-6	Mike Leake (R)	Max Scherzer (R)	L -185	U 7.5 107
04/11/17	STL	W 8-3	Lance Lynn (R)	Gio Gonzalez (L)	W -132	O 8.5 -114
04/10/17	STL	W 14-6	Adam Wainwright (R)	Tanner Roark (R)	W -122	O 8.5 -101
04/09/17	@ PHI	L 3-4	Stephen Strasburg (R)	Jeremy Hellickson (R)	L -167	U 8.5 -110
04/08/17	@ PHI	L 3-17	Jeremy Guthrie (R)	Aaron Nola (R)	L 103	O 8.5 103
04/07/17	@ PHI	W 7-6	Max Scherzer (R)	Vince Velasquez (R)	W -170	O 7 -109
04/06/17	MIA	L 3-4	Tom Koehler (R)	Gio Gonzalez (L)	L -164	U 9 -104
04/05/17	MIA	W 6-4	Dan Straily (R)	Tanner Roark (R)	W -158	O 8.5 -117
04/03/17	MIA	W 4-2	Edinson Volquez (R)	Stephen Strasburg (R)	W -200	U 8 106
