,home_team,away_team,score_home,score_away,total_line
5/13/20,NC Dinos,KT Wiz Suwon,5,4,9.5
5/14/20,Hanwha Eagles,Kia Tigers,4,1,8.5
5/14/20,Kiwoom Heroes,Samsung Lions,5,8,8.5
5/14/20,LG Twins,SK Wyverns,3,2,9.5
5/14/20,Lotte Giants,Doosan Bears,4,7,10.5
5/14/20,NC Dinos,KT Wiz Suwon,1,0,10
5/15/20,Hanwha Eagles,Lotte Giants,2,1,8.5
5/15/20,Kia Tigers,Doosan Bears,4,13,10.5
5/15/20,KT Wiz Suwon,Samsung Lions,14,6,9.5
5/15/20,SK Wyverns,NC Dinos,2,6,9
5/15/20,LG Twins,Kiwoom Heroes,3,1,8.5
5/15/20,Hanwha Eagles,Lotte Giants,1,5,9
5/16/20,SK Wyverns,NC Dinos,1,2,9.5
5/16/20,LG Twins,Kiwoom Heroes,5,3,11.5
5/16/20,KT Wiz Suwon,Samsung Lions,10,4,11
5/16/20,Kia Tigers,Doosan Bears,13,4,9.5
5/17/20,SK Wyverns,NC Dinos,5,11,9.5
5/17/20,LG Twins,Kiwoom Heroes,4,9,8.5
5/17/20,KT Wiz Suwon,Samsung Lions,9,2,8.5
5/17/20,Kia Tigers,Doosan Bears,4,6,9.5
5/17/20,Hanwha Eagles,Lotte Giants,5,4,10
5/19/20,Doosan Bears,NC Dinos,4,5,9.5
5/19/20,Kia Tigers,Lotte Giants,9,2,10.5
5/19/20,Kiwoom Heroes,SK Wyverns,11,6,8.5
5/19/20,KT Wiz Suwon,Hanwha Eagles,13,11,9.5
5/19/20,Samsung Lions,LG Twins,6,10,9.5
5/20/20,Doosan Bears,NC Dinos,2,1,8.5
5/20/20,Kia Tigers,Lotte Giants,6,0,8.5
5/20/20,Kiwoom Heroes,SK Wyverns,3,5,10.5
5/20/20,KT Wiz Suwon,Hanwha Eagles,8,1,10
5/20/20,Samsung Lions,LG Twins,3,1,9.5
5/21/20,Doosan Bears,NC Dinos,6,12,10.5
5/21/20,Kia Tigers,Lotte Giants,6,1,11
5/21/20,Kiwoom Heroes,SK Wyverns,8,7,10
5/21/20,KT Wiz Suwon,Hanwha Eagles,4,9,10.5
5/21/20,Samsung Lions,LG Twins,0,2,11.5
5/22/20,SK Wyverns,Kia Tigers,1,2,10
5/22/20,Samsung Lions,Doosan Bears,7,12,11
5/22/20,NC Dinos,Hanwha Eagles,3,5,9
5/22/20,Lotte Giants,Kiwoom Heroes,9,7,9.5
5/22/20,LG Twins,KT Wiz Suwon,6,5,9
5/23/20,LG Twins,KT Wiz Suwon,2,6,10.5
5/23/20,SK Wyverns,Kia Tigers,3,8,8.5
5/23/20,Samsung Lions,Doosan Bears,6,10,11.5
5/23/20,NC Dinos,Hanwha Eagles,3,0,9.5
5/23/20,Lotte Giants,Kiwoom Heroes,4,12,10.5
5/24/20,SK Wyverns,Kia Tigers,4,3,9.5
5/24/20,Samsung Lions,Doosan Bears,13,0,11.5
5/24/20,NC Dinos,Hanwha Eagles,10,5,9.5
5/24/20,Lotte Giants,Kiwoom Heroes,2,0,11
5/24/20,LG Twins,KT Wiz Suwon,9,7,10
5/26/20,Doosan Bears,SK Wyverns,6,4,9.5
5/26/20,Hanwha Eagles,LG Twins,0,3,8.5
5/26/20,KT Wiz Suwon,Kia Tigers,1,4,9.5
5/26/20,Lotte Giants,Samsung Lions,1,0,9.5
5/26/20,NC Dinos,Kiwoom Heroes,7,2,9.5
5/27/20,Doosan Bears,SK Wyverns,4,2,10.5
5/27/20,Hanwha Eagles,LG Twins,4,15,10.5
5/27/20,KT Wiz Suwon,Kia Tigers,5,0,9.5
5/27/20,Lotte Giants,Samsung Lions,1,11,10.5
5/27/20,NC Dinos,Kiwoom Heroes,10,3,10.5
5/28/20,Doosan Bears,SK Wyverns,1,6,11.5
5/28/20,Hanwha Eagles,LG Twins,0,3,8.5
5/28/20,KT Wiz Suwon,Kia Tigers,6,5,9.5
5/28/20,Lotte Giants,Samsung Lions,1,3,10.5
5/28/20,NC Dinos,Kiwoom Heroes,9,6,11.5
5/29/20,Doosan Bears,Lotte Giants,4,2,10.5
5/29/20,Kia Tigers,LG Twins,2,6,9.5
5/29/20,Kiwoom Heroes,KT Wiz Suwon,5,1,10
5/29/20,Samsung Lions,NC Dinos,5,4,10
5/29/20,SK Wyverns,Hanwha Eagles,8,6,9
5/30/20,Kia Tigers,LG Twins,10,6,10
5/30/20,SK Wyverns,Hanwha Eagles,9,3,9.5
5/30/20,Samsung Lions,NC Dinos,9,1,9.5
5/30/20,Kiwoom Heroes,KT Wiz Suwon,14,3,9.5
5/30/20,Doosan Bears,Lotte Giants,5,4,10.5
5/31/20,SK Wyverns,Hanwha Eagles,6,4,9
5/31/20,Samsung Lions,NC Dinos,7,18,9.5
5/31/20,Kiwoom Heroes,KT Wiz Suwon,8,12,10
5/31/20,Kia Tigers,LG Twins,5,13,8.5
5/31/20,Doosan Bears,Lotte Giants,3,8,8.5
6/1/20,Hanwha Eagles,Kiwoom Heroes,3,15,10
6/1/20,Kia Tigers,Lotte Giants,7,2,9.5
6/1/20,KT Wiz Suwon,Doosan Bears,8,11,10.5
6/1/20,LG Twins,Samsung Lions,0,2,10
6/1/20,NC Dinos,SK Wyverns,2,8,10
6/2/20,Hanwha Eagles,Kiwoom Heroes,2,6,10
6/2/20,Kia Tigers,Lotte Giants,11,2,8.5
6/2/20,KT Wiz Suwon,Doosan Bears,7,2,12.5
6/2/20,LG Twins,Samsung Lions,6,12,9
6/2/20,NC Dinos,SK Wyverns,8,6,10.5
6/3/20,Hanwha Eagles,Kiwoom Heroes,3,7,9.5
6/3/20,Kia Tigers,Lotte Giants,7,3,9.5
6/3/20,KT Wiz Suwon,Doosan Bears,8,14,11.5
6/3/20,LG Twins,Samsung Lions,11,0,10.5
6/3/20,NC Dinos,SK Wyverns,10,0,9.5
6/4/20,Doosan Bears,Kia Tigers,5,1,11
6/4/20,Hanwha Eagles,NC Dinos,2,13,10.5
6/4/20,Kiwoom Heroes,LG Twins,6,3,10.5
6/4/20,Lotte Giants,KT Wiz Suwon,6,4,12
6/4/20,SK Wyverns,Samsung Lions,4,1,10.5
6/5/20,Doosan Bears,Kia Tigers,4,3,9
6/5/20,Hanwha Eagles,NC Dinos,2,14,8.5
6/5/20,Kiwoom Heroes,LG Twins,5,4,10.5
6/5/20,Lotte Giants,KT Wiz Suwon,1,0,9.5
6/5/20,SK Wyverns,Samsung Lions,6,4,9
6/6/20,Doosan Bears,Kia Tigers,3,2,10.5
6/6/20,Hanwha Eagles,NC Dinos,2,8,11.5
6/6/20,Kiwoom Heroes,LG Twins,1,8,11
6/6/20,Lotte Giants,KT Wiz Suwon,5,2,10.5
6/6/20,SK Wyverns,Samsung Lions,0,3,9.5
6/9/20,KT Wiz Suwon,Kia Tigers,2,3,10.5
6/9/20,LG Twins,SK Wyverns,3,5,10
6/9/20,Lotte Giants,Hanwha Eagles,9,3,8.5
6/9/20,NC Dinos,Doosan Bears,12,8,12.5
6/9/20,Samsung Lions,Kiwoom Heroes,3,5,10.5
6/10/20,KT Wiz Suwon,Kia Tigers,0,10,10.5
6/10/20,Lotte Giants,Hanwha Eagles,12,2,10
6/10/20,NC Dinos,Doosan Bears,1,9,10.5
6/10/20,Samsung Lions,Kiwoom Heroes,4,1,10.5
6/11/20,KT Wiz Suwon,Kia Tigers,13,8,11
6/11/20,LG Twins,SK Wyverns,4,3,9.5
6/11/20,Lotte Giants,Hanwha Eagles,5,0,11
6/11/20,NC Dinos,Doosan Bears,7,5,11.5
6/11/20,Samsung Lions,Kiwoom Heroes,6,3,11
6/11/20,LG Twins,SK Wyverns,3,1,9.5
6/12/20,SK Wyverns,Kia Tigers,3,6,8.5
